ID	MAPRESOURCE	MOVE_MODEL	MATRIX	event	script	msg	encount	maptype	bicycle	dash	escape	fly	BGM_DAY	BGM_NIGHT	WEATHER	CAMERA	BATTLE_BG	PLACE_NAME	WINDOW_TYPE	備考
C01R0103	AREA_ID_ROOM12	MMLID_NOENTRY	COMP03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1POKETCH	PLACE_WIN_SEE	コトブキ：ポケッチカンパニー 3Ｆ
C01R0201	AREA_ID_ROOM15	MMLID_NOENTRY	TV01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	PLACE_WIN_SEE	コトブキ：ＴＶ局　１Ｆ
C01R0202	AREA_ID_ROOM15	MMLID_NOENTRY	TV02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	PLACE_WIN_SEE	コトブキ：ＴＶ局　2Ｆ
C01R0203	AREA_ID_ROOM15	MMLID_NOENTRY	TV03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	PLACE_WIN_SEE	コトブキ：ＴＶ局　3Ｆ
C01R0204	AREA_ID_ROOM15	MMLID_NOENTRY	TV04	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	PLACE_WIN_SEE	コトブキ：ＴＶ局　4Ｆ
C01R0205	AREA_ID_ROOM15	MMLID_NOENTRY	TV05	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	PLACE_WIN_SEE	コトブキ：ＴＶ局　クリップの部屋(への道）
C01R0206	AREA_ID_ROOM15	MMLID_NOENTRY	TV06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	PLACE_WIN_SEE	コトブキ：ＴＶ局　ギネスの部屋１
C01R0207	AREA_ID_ROOM15	MMLID_NOENTRY	TV07	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	PLACE_WIN_SEE	コトブキ：ＴＶ局　ギネスの部屋２
C01R0208	AREA_ID_ROOM02	MMLID_NOENTRY	EV01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_BLD_TV	SEQ_BLD_TV	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1TV	PLACE_WIN_SEE	コトブキ：ＴＶ局　ＥＶ
C01R0301	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	2/3変更　コトブキ：ビル1＿１Ｆ
C01R0302	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	2/3変更　コトブキ：ビル1＿２Ｆ
C01R0303	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	2/3変更　コトブキ：ビル1＿３Ｆ
C01R0304	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	×	×	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	2/3変更　コトブキ：ビル1＿４Ｆ
C01R0401	AREA_ID_ROOM01	AREA_ID_ROOM01	HOUSE03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_DUMMY	SEQ_DUMMY	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	異文化の建物＿１Ｆ
C01R0501	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	2/3変更　コトブキ：ビル2＿1Ｆ
C01R0502	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	2/3追加　コトブキ：ビル2＿2Ｆ
C01R0503	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	2/3追加　コトブキ：ビル2＿3Ｆ
C01R0504	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	2/3追加　コトブキ：ビル2＿4Ｆ
C01R0601	AREA_ID_ROOM21	MMLID_NOENTRY	WIFI01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PL_WIFITOWER	SEQ_PL_WIFITOWER	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C1GLOBAL	PLACE_WIN_SEE	グローバルタワー１Ｆ
C01R0701	AREA_ID_ROOM12	MMLID_NOENTRY	SCHO01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1SCHOOL	PLACE_WIN_SEE	2/2変更　トレーナースクール＿１Ｆ
C01R0801	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY01_D	SEQ_CITY01_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	5/25追加　コトブキビル３＿1Ｆ
C01R0901	AREA_ID_ROOM01	AREA_ID_ROOM01	HOUSE03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_DUMMY	SEQ_DUMMY	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	2/3削除予定　ビル４＿１Ｆ
C01R1001	AREA_ID_ROOM01	AREA_ID_ROOM01	HOUSE03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_DUMMY	SEQ_DUMMY	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C1KOTOBUKI	PLACE_WIN_SEE	2/3削除予定　ビル５＿１Ｆ
C02	AREA_ID_AREA10	MMLID_AREA10	SINOU	○	○	○	○	MAPTYPE_TOWN	○	○	×	○	SEQ_CITY02_D	SEQ_CITY02_N	SUNNY	0	BG_ID_CITY	MAPNAME_C2MIO	PLACE_WIN_CITY	ミオシティ
C02FS0101	AREA_ID_ROOM03	MMLID_NOENTRY	FS01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_FS	SEQ_FS	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C2MIO	PLACE_WIN_SEE	フレンドリィショップ
C02GYM0101	AREA_ID_ROOM05	MMLID_NOENTRY	GYM02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	3	BG_ID_ROOM_A	MAPNAME_C2MIO	PLACE_WIN_SEE	ミオジム（鋼）
C02PC0101	AREA_ID_ROOM02	MMLID_NOENTRY	PC01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C2MIO	PLACE_WIN_SEE	ポケモンセンター＿１Ｆ
C02PC0102	AREA_ID_ROOM02	MMLID_NOENTRY	PC02	○	○	×	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C2MIO	PLACE_WIN_SEE	ポケモンセンター＿２Ｆ
C02R0101	AREA_ID_ROOM12	MMLID_NOENTRY	LIBRA01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY02_D	SEQ_CITY02_N	SUNNY	4	BG_ID_ROOM_C	MAPNAME_C7TOSYOKAN	PLACE_WIN_SEE	2/22変更　図書館_1F
C02R0102	AREA_ID_ROOM12	MMLID_NOENTRY	LIBRA02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY02_D	SEQ_CITY02_N	SUNNY	4	BG_ID_ROOM_C	MAPNAME_C7TOSYOKAN	PLACE_WIN_SEE	2/22追加　図書館_2F
C02R0103	AREA_ID_ROOM12	MMLID_NOENTRY	LIBRA03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY02_D	SEQ_CITY02_N	SUNNY	4	BG_ID_ROOM_C	MAPNAME_C7TOSYOKAN	PLACE_WIN_SEE	2/22変更　図書館_3F
C02R0201	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY02_D	SEQ_CITY02_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C2MIO	PLACE_WIN_SEE	民家４
C02R0301	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY02_D	SEQ_CITY02_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C2MIO	PLACE_WIN_SEE	民家1
C02R0401	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE04	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_D_03	SEQ_D_03	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C2MIO	PLACE_WIN_SEE	民家２_(ダークイベント用民家）
C02R0501	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE04	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY02_D	SEQ_CITY02_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C2MIO	PLACE_WIN_SEE	民家３_(ムーバスイベント用民家）
C03	AREA_ID_AREA02	MMLID_AREA02	SINOU	○	○	○	×	MAPTYPE_TOWN	○	○	×	○	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	0	BG_ID_CITY	MAPNAME_C3KUROGANE	PLACE_WIN_CITY	クロガネシティ
C03FS0101	AREA_ID_ROOM03	MMLID_NOENTRY	FS01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_FS	SEQ_FS	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	クロガネ：フレンドリィショップ
C03GYM0101	AREA_ID_ROOM06	MMLID_NOENTRY	GYM03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	9	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	クロガネポケモンジム（岩）
C03PC0101	AREA_ID_ROOM02	MMLID_NOENTRY	PC01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	クロガネ：ポケモンセンター＿１Ｆ
C03PC0102	AREA_ID_ROOM02	MMLID_NOENTRY	PC02	○	○	×	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	クロガネ：ポケモンセンター＿２Ｆ
C03R0101	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	クロガネ：ビル1＿１Ｆ
C03R0102	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	クロガネ：ビル1＿２Ｆ
C03R0103	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL05	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	2/2変更　クロガネ：ビル1＿３Ｆ
C03R0104	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	2/2変更　クロガネ：ビル1＿４Ｆ
C03R0201	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	2/2変更　クロガネ：ビル2 １Ｆ
C03R0202	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	2/2変更　クロガネ：ビル2 ２Ｆ
C03R0203	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL05	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	2/2変更　クロガネ：ビル2 ３Ｆ
C03R0204	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	2/2変更　クロガネ：ビル2 ４Ｆ
C03R0301	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	クロガネ：民家1
C03R0401	AREA_ID_ROOM12	MMLID_NOENTRY	MUSE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C3HAKUBUTUKAN	PLACE_WIN_SEE	2/22変更クロガネ：炭坑博物館　１Ｆ
C03R0501	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	クロガネ：民家２
C03R0601	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	2/2追加　クロガネ：ビル3＿１Ｆ
C03R0602	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	2/2追加　クロガネ：ビル3＿２Ｆ
C03R0603	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	2/2追加　クロガネ：ビル3＿３Ｆ
C03R0701	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY03_D	SEQ_CITY03_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C3KUROGANE	PLACE_WIN_SEE	クロガネ：民家3
C04	AREA_ID_AREA03	MMLID_AREA03	SINOU	○	○	○	○	MAPTYPE_TOWN	○	○	×	○	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	0	BG_ID_CITY	MAPNAME_C4HAKUTAI	PLACE_WIN_CITY	ハクタイシティ
C04FS0101	AREA_ID_ROOM03	MMLID_NOENTRY	FS01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_FS	SEQ_FS	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	PLACE_WIN_SEE	ハクタイ：フレンドリィショップ
C04GYM0101	AREA_ID_ROOM07	MMLID_NOENTRY	GYM0401	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	PLACE_WIN_SEE	2/2変更　ハクタイポケモンジム1（草）
C04GYM0102	AREA_ID_ROOM07	MMLID_NOENTRY	GYM0402	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_GYM	SEQ_GYM	SUNNY	9	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	PLACE_WIN_SEE	2/2変更　ハクタイポケモンジム2（草）
C04PC0101	AREA_ID_ROOM02	MMLID_NOENTRY	PC01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	PLACE_WIN_SEE	ハクタイ：ポケモンセンター＿１Ｆ
C04PC0102	AREA_ID_ROOM02	MMLID_NOENTRY	PC02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_PC_01	SEQ_PC_02	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	PLACE_WIN_SEE	ハクタイ：ポケモンセンター＿２Ｆ
C04R0101	AREA_ID_ROOM03	MMLID_NOENTRY	BIKE01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4BICYCLE	PLACE_WIN_SEE	2/2変更　ハクタイ：自転車屋＿１Ｆ
C04R0201	AREA_ID_DUNGEON06	MMLID_NOENTRY	AJITO05	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_D_GINLOBBY	SEQ_D_GINLOBBY	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C4AZITO2	PLACE_WIN_SEE	ハクタイ：ギンガ団支部ビル＿１Ｆ
C04R0202	AREA_ID_DUNGEON06	MMLID_NOENTRY	AJITO02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_D_GINLOBBY	SEQ_D_GINLOBBY	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C4AZITO2	PLACE_WIN_SEE	ハクタイ：ギンガ団支部ビル＿２Ｆ
C04R0203	AREA_ID_DUNGEON06	MMLID_NOENTRY	AJITO03	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_D_GINLOBBY	SEQ_D_GINLOBBY	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C4AZITO2	PLACE_WIN_SEE	ハクタイ：ギンガ団支部ビル＿３Ｆ
C04R0204	AREA_ID_DUNGEON06	MMLID_NOENTRY	AJITO04	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_D_GINLOBBY	SEQ_D_GINLOBBY	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C4AZITO2	PLACE_WIN_SEE	ハクタイ：ギンガ団支部ビル＿４Ｆ
C04R0301	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C4HAKUTAI	PLACE_WIN_SEE	ハクタイ：一般住居ビル＿１Ｆ
C04R0302	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL04	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C4HAKUTAI	PLACE_WIN_SEE	ハクタイ：一般住居ビル＿２Ｆ(姓名判断）
C04R0303	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_B	MAPNAME_C4HAKUTAI	PLACE_WIN_SEE	ハクタイ：一般住居ビル＿３Ｆ
C04R0304	AREA_ID_ROOM12	MMLID_NOENTRY	BUIL06	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	PLACE_WIN_SEE	2/2追加　ハクタイ：一般住居ビル＿４Ｆ
C04R0401	AREA_ID_ROOM31	MMLID_NOENTRY	GATEPL03	○	○	○	×	MAPTYPE_ROOM	○	×	×	×	SEQ_ROAD_D_D	SEQ_ROAD_D_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_R206	PLACE_WIN_SEE	ハクタイ：サイクリングゲートＳ
C04R0501	AREA_ID_ROOM01	MMLID_NOENTRY	ITEM01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	PLACE_WIN_SEE	ハクタイ：民家１（漢方屋）
C04R0601	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	PLACE_WIN_SEE	ハクタイ：民家２
C04R0701	AREA_ID_ROOM01	MMLID_NOENTRY	HOUSE02	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	PLACE_WIN_SEE	ハクタイ：民家３＿
C04R0801	AREA_ID_ROOM24	MMLID_NOENTRY	UGOLDMAN01	○	○	○	×	MAPTYPE_ROOM	×	×	×	×	SEQ_CITY04_D	SEQ_CITY04_N	SUNNY	4	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	PLACE_WIN_SEE	地下ジジイの家
C04R0901	AREA_ID_ROOM01	AREA_ID_ROOM01	HOUSE01	○	×	×	×	MAPTYPE_ROOM	×	×	×	×	SEQ_DUMMY	SEQ_DUMMY	SUNNY	0	BG_ID_ROOM_A	MAPNAME_C4HAKUTAI	PLACE_WIN_SEE	2/4削除予定
C05	AREA_ID_AREA04	MMLID_AREA04	SINOU	○	○	○	×	MAPTYPE_TOWN	○	○	×	○	SEQ_CITY05_D	SEQ_CITY05_N	SUNNY	0	BG_ID_CITY	MAPNAME_C5YOSUGA	PLACE_WIN_CITY	ヨスガシティ
