トレーナータイプ	視線ＢＧＭ	戦闘ＢＧＭ	分類
TRTYPE_mushi	mus_dp_eye_boy.mid	mus_dp_ba_train.mid	むしとりしょうねん
TRTYPE_mount	mus_dp_eye_mount.mid	mus_dp_ba_train.mid	やまおとこ
TRTYPE_lovelove	mus_dp_eye_fun.mid	mus_dp_ba_train.mid	ラブラブカップル
TRTYPE_cyclingm	mus_dp_eye_sport.mid	mus_dp_ba_train.mid	サイクリング♂
TRTYPE_cyclingw	mus_dp_eye_sport.mid	mus_dp_ba_train.mid	サイクリング♀
TRTYPE_gingam	mus_dp_eye_ginga.mid	mus_dp_ba_ginga.mid	ギンガだん♂
TRTYPE_gingaw	mus_dp_eye_ginga.mid	mus_dp_ba_ginga.mid	ギンガだん♀
TRTYPE_gingaleader1	mus_dp_eye_ginga.mid	mus_dp_ba_ginga.mid	ギンガだんかんぶ
TRTYPE_gingaleader2	mus_dp_eye_ginga.mid	mus_dp_ba_ginga.mid	ギンガだんかんぶ
TRTYPE_gingaleader3	mus_dp_eye_ginga.mid	mus_dp_ba_ginga.mid	ギンガだんかんぶ
TRTYPE_madam	mus_dp_eye_rich.mid	mus_dp_ba_train.mid	マダム
TRTYPE_waiter	mus_dp_eye_fun.mid	mus_dp_ba_train.mid	ウエーター
TRTYPE_waitress	mus_dp_eye_fun.mid	mus_dp_ba_train.mid	ウエートレス
TRTYPE_worker	mus_dp_eye_fun.mid	mus_dp_ba_train.mid	さぎょういん
TRTYPE_farmer	mus_dp_eye_mount.mid	mus_dp_ba_train.mid	ぼくじょうおじさん
TRTYPE_cowgirl	mus_dp_eye_mount.mid	mus_dp_ba_train.mid	カウガール
TRTYPE_family	mus_dp_eye_mount.mid	mus_dp_ba_train.mid	ぼくじょうおやこ
TRTYPE_pierrot	mus_dp_eye_fun.mid	mus_dp_ba_train.mid	ピエロ
TRTYPE_idol	mus_dp_eye_girl.mid	mus_dp_ba_train.mid	アイドル
TRTYPE_artist	mus_dp_eye_fun.mid	mus_dp_ba_train.mid	げいじゅつか
TRTYPE_pokegirl	mus_dp_eye_kid.mid	mus_dp_ba_train.mid	ポケモンごっこ♀
TRTYPE_police	mus_dp_eye_fight.mid	mus_dp_ba_train.mid	おまわりさん
TRTYPE_doubleteam	mus_dp_eye_elite.mid	mus_dp_ba_train.mid	ダブルチーム
TRTYPE_skierm	mus_dp_eye_sport.mid	mus_dp_ba_train.mid	スキーヤー♂
TRTYPE_skierw	mus_dp_eye_sport.mid	mus_dp_ba_train.mid	スキーヤー♀
TRTYPE_heads	mus_dp_eye_fight.mid	mus_dp_ba_train.mid	スキンヘッズ
TRTYPE_scientist	mus_dp_eye_mys.mid	mus_dp_ba_train.mid	けんきゅういん♂
TRTYPE_jogger	mus_dp_eye_sport.mid	mus_dp_ba_train.mid	ジョギング♂
TRTYPE_veteran	mus_dp_eye_elite.mid	mus_dp_ba_train.mid	ベテラントレーナー
TRTYPE_cameraman	mus_dp_eye_fun.mid	mus_dp_ba_train.mid	カメラマン
TRTYPE_reporter	mus_dp_eye_fun.mid	mus_dp_ba_train.mid	レポーター
TRTYPE_gambler	mus_dp_eye_rich.mid	mus_dp_ba_train.mid	ギャンブラー
TRTYPE_coldelitew	mus_dp_eye_elite.mid	mus_dp_ba_train.mid	エリートトレーナー♀（厚着）
TRTYPE_coldelitem	mus_dp_eye_elite.mid	mus_dp_ba_train.mid	エリートトレーナー♂（厚着）
TRTYPE_bigfour1	mus_dp_eye_tenno.mid	mus_dp_ba_train.mid	四天王1
TRTYPE_bigfour2	mus_dp_eye_tenno.mid	mus_dp_ba_train.mid	四天王2
TRTYPE_bigfour3	mus_dp_eye_tenno.mid	mus_dp_ba_train.mid	四天王3
TRTYPE_bigfour4	mus_dp_eye_tenno.mid	mus_dp_ba_train.mid	四天王4
TRTYPE_champion	mus_dp_eye_champ.mid	mus_dp_ba_train.mid	チャンピオン
TRTYPE_maid	mus_dp_eye_fun.mid	mus_dp_ba_train.mid	メイド
